order, feature,label,values
15,GDF,Co si myslíte o budoucnosti Zelené dohody pro Evropu / Green Deal?,"{1.0: 'měla by být zrušena', 2.0: 'měla by být ve svých cílech oslabena', 3.0: 'měla by zůstat, jak je', 4.0: 'měla by být posílena a rozšířena o další cíle', 99.0: 'nedokážu posoudit'}"
10,NAR_30,"Česká republika by se měla mnohem aktivněji zapojit do ochrany klimatu.","{1.0: 'rozhodně nesouhlasím', 2.0: 'spíše nesouhlasím', 3.0: 'tak ani tak', 4.0: 'spíše souhlasím', 5.0: 'rozhodně souhlasím', 99.0: 'nedokážu posoudit'}"
3,NAR_11,"S ochranou klimatu se to přehání.","{1.0: 'rozhodně nesouhlasím', 2.0: 'spíše nesouhlasím', 3.0: 'tak ani tak', 4.0: 'spíše souhlasím', 5.0: 'rozhodně souhlasím', 99.0: 'nedokážu posoudit'}"
12,NAR_7,"Ochrana klimatu je výmysl Evropské unie.","{1.0: 'rozhodně nesouhlasím', 2.0: 'spíše nesouhlasím', 3.0: 'tak ani tak', 4.0: 'spíše souhlasím', 5.0: 'rozhodně souhlasím', 99.0: 'nedokážu posoudit'}"
14,NAR_19,"Mladí i staří by měli spojit síly pro řešení změny klimatu.","{1.0: 'rozhodně nesouhlasím', 2.0: 'spíše nesouhlasím', 3.0: 'tak ani tak', 4.0: 'spíše souhlasím', 5.0: 'rozhodně souhlasím', 99.0: 'nedokážu posoudit'}"
9,NAR_10,"Ochrana klimatu musí být nadřazena všem ostatním problémům, které musíme v současnosti řešit.","{1.0: 'rozhodně nesouhlasím', 2.0: 'spíše nesouhlasím', 3.0: 'tak ani tak', 4.0: 'spíše souhlasím', 5.0: 'rozhodně souhlasím', 99.0: 'nedokážu posoudit'}"
8,NAR_15,"Změnou  klimatu jsem znepokojen(a) víc než naše vláda.","{1.0: 'rozhodně nesouhlasím', 2.0: 'spíše nesouhlasím', 3.0: 'tak ani tak', 4.0: 'spíše souhlasím', 5.0: 'rozhodně souhlasím', 99.0: 'nedokážu posoudit'}"
7,NAR_13,"Ochrana klimatu je příležitost změnit náš život k lepšímu.","{1.0: 'rozhodně nesouhlasím', 2.0: 'spíše nesouhlasím', 3.0: 'tak ani tak', 4.0: 'spíše souhlasím', 5.0: 'rozhodně souhlasím', 99.0: 'nedokážu posoudit'}"
13,NAR_6,"Žijeme v době klimatické krize.","{1.0: 'rozhodně nesouhlasím', 2.0: 'spíše nesouhlasím', 3.0: 'tak ani tak', 4.0: 'spíše souhlasím', 5.0: 'rozhodně souhlasím', 99.0: 'nedokážu posoudit'}"
2,NAR_16,"Měli bychom už konečně poslouchat skutečné odborníky – klimatology, kteří před změnou klimatu varují.","{1.0: 'rozhodně nesouhlasím', 2.0: 'spíše nesouhlasím', 3.0: 'tak ani tak', 4.0: 'spíše souhlasím', 5.0: 'rozhodně souhlasím', 99.0: 'nedokážu posoudit'}"
1,NAR_3,"Mám obavy z klimatické změny.","{1.0: 'rozhodně nesouhlasím', 2.0: 'spíše nesouhlasím', 3.0: 'tak ani tak', 4.0: 'spíše souhlasím', 5.0: 'rozhodně souhlasím', 99.0: 'nedokážu posoudit'}"
11,NAR_14,"Bez ochrany klimatu nedokážeme uchránit ani naši českou krajinu a přírodu.","{1.0: 'rozhodně nesouhlasím', 2.0: 'spíše nesouhlasím', 3.0: 'tak ani tak', 4.0: 'spíše souhlasím', 5.0: 'rozhodně souhlasím', 99.0: 'nedokážu posoudit'}"
6,NAR_2,"Emise, které vypustíme dnes, ovlivní to, v jakém světě budou žít naše děti.","{1.0: 'rozhodně nesouhlasím', 2.0: 'spíše nesouhlasím', 3.0: 'tak ani tak', 4.0: 'spíše souhlasím', 5.0: 'rozhodně souhlasím', 99.0: 'nedokážu posoudit'}"
4,NAR_39,"Potřebujeme přejít od špinavých průmyslových technologií k těm čistým – pro přírodu i pro lidi.","{1.0: 'rozhodně nesouhlasím', 2.0: 'spíše nesouhlasím', 3.0: 'tak ani tak', 4.0: 'spíše souhlasím', 5.0: 'rozhodně souhlasím', 99.0: 'nedokážu posoudit'}"
5,NAR_24,"Je správné protestovat proti firmám, které vydělávají na těžbě a spalování uhlí.","{1.0: 'rozhodně nesouhlasím', 2.0: 'spíše nesouhlasím', 3.0: 'tak ani tak', 4.0: 'spíše souhlasím', 5.0: 'rozhodně souhlasím', 99.0: 'nedokážu posoudit'}"
